의료기관명,주소
도담아동청소년상담센터,서울 양천구 오목로 232
한결심리상담센터,서울 양천구 신월로 387
해냄소아청소년연구소,서울 양천구 목동로 177
남광우 내과의원,서울 구로구 경인로 219
이수양내과,서울특별시 구로구 경인로 216
발머스한의원,서울 중구 남대문로 68
보아스이비인후과약수본원,서울 중구 다산로 111
린내과소아과,서울 중구 다산로 230
대한민국정형외과,서울 중구 다산로 230
서울참피부과,서울 중구 청구로 70
소망안과,서울 중구 청구로 70
이사랑치과,서울 중구 청구로 70
이화치과,서울 중구 명동4길 12-1
(폐원) (길음동) 뉴타운연세소아과의원,서울특별시 성북구 길음로13길 39
(길음동) [영유아 건강검진 기관] 삼성키즈소아청소년과의원,서울특별시 성북구 길음로 33
(동선동) [소아청소년정신과] 성북아이정신건강의학과의원,서울특별시 성북구 동소문로20가길 12
(동선동) [영유아 건강검진 기관] 세연온마음의원,서울특별시 성북구 동소문로 127-1
백설소아과의원,서울특별시 중구 다산로 32
서울하이안치과,서울 중구 다산로 130-1
성모가정의학과 /내과의원,서울 성동구 아차산로 41
서울송도병원,서울 중구 다산로 78
심미치과의원,서울 중구 동호로7길 45
약수서울치과의원,서울 중구 동호로10길 6
약수소생한의원,서울 중구 다산로 106
연세치과의원,서울 중구 다산로 132
유태석내과의원,서울 중구 동호로 180
이잘하는치과의원,서울 중구 다산로 106
정동욱이비인후과,서울 중구 다산로 132
정인내과의원,서울 중구 다산로 32
지인마취통증의원,서울 중구 동호로 171
진이비인후과의원,서울 중구 다산로 114-1
한경숙안과,서울 중구 다산로 214
호현치과의원,서울 중구 다산로 222
경희봄한의원,서울 종로구 청계천로 61
(하월곡동)  [영유아 건강검진 기관] 기린아이소아청소년의원,서울특별시 성북구 월계로 52
(돈암동) [영유아 건강검진 기관] 김선영소아과의원,서울특별시 성북구 동소문로 190
(하월곡동) [영유아 건강검진 기관] 김세진소아청소년과의원  ,서울특별시 성북구 화랑로 76
참사랑의원,서울 중구 다산로40길 56
플러스원치과의원,서울 중구 다산로 112
한맥한의원,서울특별시 중구 동호로 177-1
함수만치과,서울 중구 동호로 161
홍익치과의원,서울 중구 명동9길 21
김의종치과,서울 중구 다산로36길 25
서울내과의원소아과,서울 중구 청구로 70
(동소문동) [영유아 건강검진 기관] 이보영소아청소년과의원,서울특별시 성북구 성북로2길 32
(삼선동) [영유아 건강검진 기관] 이라소아청소년과의원,서울특별시 성북구 보문로 183
아이캔! 인지학습발달센터,서울 동대문구 장안벚꽃로 107
샘내과의원,서울 중구 다산로 133
쉬앤미여성의원,서울 중구 동호로 192
유치과의원,서울 중구 다산로 175
이창순이비인후과,서울 중구 다산로 185
제민외과의원,서울 중구 다산로 137
제생치과의원,서울 중구 다산로 131
조영호내과의원,서울 중구 다산로 183
조은재활의학과,서울 중구 동호로 191
비엘티병원,서울 중구 장충단로 263
동호의원,서울 중구 동호로 177-1
헬로우에이피엠병원,서울 중구 장충단로 253
수내과의원,서울 중구 장충단로 197
뿌리깊은한의원,서울 중구 다산로 223
태평한의원,서울 중구 다산로33다길 37
도연한의원,서울 중구 동호로11길 7
남산타운 윤치과,서울 중구 다산로 32
진솔한의원,서울 중구 동호로 193
SK건설부속치과의원,서울 종로구 율곡로2길 19
미애로여성의원 중구점,서울 중구 다산로11길 3
고당한의원,울산 중구 유곡로 15
반도정형외과,서울특별시 중구 동호로 202
김순화소아과의원,서울 중구 동호로 177-1
한마루정신건강의학과의원,서울 중구 다산로 243-1
경희한의원,서울 중구 다산로 32
미소샘치과,서울 중구 다산로 243-1
인제대학교서울백병원,서울 중구 마른내로 9
조은수치과,서울 중구 퇴계로 433
센트럴치과,서울 중구 퇴계로 438-1
미라인치과,서울 중구 퇴계로 457
서울홍치과,서울 중구 퇴계로 435-1
신동진이비인후과의원,서울 중구 다산로 223
신동훈의원,서울 중구 퇴계로 438-1
연세이비인후과의원,서울 중구 퇴계로 438-1
권소연산부인과,서울 중구 다산로 185
라임피부비뇨기과,서울 중구 퇴계로 395
삼성푸른의원,서울 중구 다산로42길 80
날아라정형외과의원,서울 중랑구 용마산로 484
아토피천식센터(서울의료원),서울 중랑구 신내로 156
경희한의원 ,서울 중랑구 망우로 421
프라임 병원,서울 중랑구 공릉로 76
덕제 내과,서울 중랑구 공릉로 59
미드미 치과의원,서울 중랑구 숙선옹주로 6-9
김영수 한의원,서울 중랑구 동일로 932
현동 한의원,서울 중랑구 신내로25가길 2
성모마음 정신과,서울 중랑구 동일로 903
성모마음 한의원,서울 중랑구 동일로 899
산마루한의원,서울 중랑구 망우로 463
메디앙병원,서울 중랑구 면목로 473
소망의원,서울 중랑구 겸재로9길 53
최지영내과의원,서울특별시 중랑구 망우로 203
왕서재소아과의원,서울 중랑구 중랑역로 51
얼굴에미소치과의원,서울 중랑구 동일로 770
서울민트치과의원,서울특별시 중랑구 면목로 249
서울중앙의원,서울 중랑구 상봉로 20
정진내과의원,서울 중랑구 사가정로 401
강우상 한의원,서울 중랑구 중랑역로 15
수목한의원,서울 중랑구 중랑역로 51
e-편한치과의원,서울 중랑구 사가정로 401
(동선동) [바우처 제공기관] 아이생각아동발달센터,서울특별시 성북구 동소문로23길 8-12
(길음동) [바우처 제공기관] 준재활의학과의원 달관,서울특별시 성북구 길음로7길 16
함내과 의원,서울 중랑구 겸재로 119-1
정현구 치과의원,서울 중랑구 동일로 608
호치과의원,서울 중랑구 겸재로 180
호산치과의원,서울 중랑구 사가정로 399
사가정경희한의원,서울 중랑구 사가정로 401
참이비인후과,서울 중랑구 사가정로 404-6
권이비인후과의원,서울 중랑구 망우로 203
생명나무한의원,서울 중랑구 면목로 362
서울의료원,서울 중랑구 신내로 156
녹색병원,서울특별시 중랑구 사가정로49길 53
그랜드약국,서울 중랑구 사가정로 399
삼흥약국 ,서울 중랑구 망우로 463
신세계약국.,서울 성동구 성덕정길 127
제민약국.,서울 성동구 성덕정길 137
동틀약국.,서울 성동구 동일로 135
스마일온누리약국.,서울 성동구 뚝섬로 379
대중약국.,서울 성동구 왕십리로6길 37
보민약국(폐업).,서울 성동구 무학봉길 43
온누리나래약국.,서울 성동구 고산자로 234
유디성수치과.,서울 성동구 아차산로 33
로뎀나무의원.,서울 성동구 독서당로 220
무학산부인과의원.,서울 성동구 고산자로 207
미드림피부과의원.,서울 성동구 왕십리로 309
연세현Jr치과.,서울 성동구 상원길 48-1
미래신경과의원.,서울 성동구 고산자로 234
미벨피부과.,서울 성동구 고산자로 234
한양대학교의료원.,서울 성동구 왕십리로 222
서울마이크로병원(강남 이전).,서울 성동구 무학로2길 8
서울프라임병원.,서울 성동구 동일로 133
금호119안전센터.,서울 성동구 난계로 19
송정119안전센터.,서울 성동구 광나루로 255
행당119안전센터.,서울 성동구 고산자로 249
성수119안전센터.,서울 성동구 뚝섬로 452
성동 정신보건센터.,서울 성동구 서울숲길 54
유명한약국.,서울 성동구 독서당로 295
한모범약국.,서울 성동구 독서당로 303-2
성경약국(좂업).,서울 성동구 마조로16길 21
백두산약국.,서울특별시 성동구 서울숲2길 47
UC성심치과의원,서울 중랑구 용마산로 503
뚝도시장약국.,서울 성동구 성덕정길 96-1
이미경소아청소년과의원,서울특별시 중랑구 사가정로 428-9
함소아한의원,서울 중랑구 망우로 263
건강한성심의원,서울 중랑구 용마산로 503
발달장애인통합지원센터 애린,서울 노원구 노원로18길 41
좋은마음발달지원센터,서울 노원구 공릉로58길 82
오킴스피부과의원,서울 중랑구 망우로 421
신필진 소아과,서울 중랑구 신내로 211
이지엠 의원,서울 중랑구 망우로 198
박찬옥소아청소년과 의원,서울 중랑구 망우로 198
시원한 이비인후과,서울 중랑구 동일로 796
하늘꿈아동발달센터,서울 노원구 공릉로58길 112
문이비인후과 의원,서울 중랑구 면목로 313
예스치과,서울 중랑구 동일로 932
키즈웰소아청소년과 의원,서울특별시 중랑구 동일로 932
장스여성병원,서울특별시 중랑구 망우로 411
연세정형외과의원.,서울 성동구 성수일로 39
권태헌의원.,서울 성동구 아차산로 116
김주필의원.,서울 성동구 아차산로7가길 1
나눔의원.,서울 성동구 뚝섬로 400
고선용산부인과의원.,서울 성동구 왕십리로 309
김동준피부과의원.,서울 성동구 행당로11길 3
김소아과의원.,서울 성동구 독서당로 300
김진산부인과의원.,서울 성동구 독서당로 328
파티마의원.,서울 성동구 고산자로 342
김희옥피부과의원.,서울 성동구 장터길 49
김희중비뇨기과의원.,서울 성동구 왕십리로 319
호아맘 산부인과( 폐업),서울특별시 성동구 고산자로 322
두리의원.,서울 성동구 독서당로 276-1
김원자 산부인과(폐업).,서울 성동구 무학로 18
서울특별시립장애인 치과병원.,서울특별시 성동구 마장로 207
서울여자대학교 부설 가족상담연구센터,서울 노원구 화랑로 621
성주심리치료상담센터 한국여성 노원지사,서울 노원구 동일로175길 12-4
노원구정신건강보지센터,서울특별시 노원구 노해로 455
다지기아동발달센터,서울 노원구 동일로237다길 7
덕성언어심리연구소,서울 노원구 동일로 1700
봄빛발달센터, 상계로1길 74 동진상가 508-2호
늘푸른신경외과의원.,서울 성동구 성덕정길 106
다니엘의원.,서울 성동구 성수이로 113
바른몸정형외과의원.,서울 성동구 성덕정길 149
박내과의원.,서울 성동구 성수일로10길 32
비에스에치엘에이랩의원.,서울 성동구 아차산로 144
"성수성모내과,소아과의원.",서울 성동구 뚝섬로 388
성수연세소아청소년과의원(폐업).,서울 성동구 아차산로7길 27
성수연세의원.,서울 성동구 연무장7길 12
성수연세이비인후과의원.,서울 성동구 아차산로7길 2
성수우리들안과의원.,서울 성동구 성덕정길 79
성수최이비인후과의원.,서울 성동구 성덕정길 78
신소아과의원 (폐업).,서울 성동구 성덕정길 106
이병직내과의원.,서울 성동구 성덕정길 105
이안힐텍소아청소년과의원.,서울특별시 성동구 뚝섬로 377
자애소아과의원.,서울 성동구 성덕정길 79
한빛의원.,서울 성동구 성수이로3길 23
한양류마엄완식내과의원.,서울 성동구 아차산로 113
행복한내과의원.,서울 성동구 뚝섬로 390
박소아과의원.,서울 성동구 독서당로 175
연아아동청소년발달센터,서울특별시 노원구 동일로 1077
더블에이의원(더블에이피부과).,서울 성동구 독서당로 223
강태욱피부과의원.,서울 성동구 행당로 76
삼성키즈소아청소년과의원,서울특별시 성동구 독서당로 223
연세소아과의원(폐업).,서울 성동구 한림말길 48
옥수명이비인후과의원.,서울 성동구 한림말길 48
옥수행복한내과의원.,서울 성동구 한림말길 56
이종문신경과의원.,서울 성동구 독서당로 223
하내과의원.,서울 성동구 한림말길 31
서울중앙의원,서울특별시 성동구 왕십리로5길 3
성동재활의원.,서울 성동구 뚝섬로1길 43
성모가정의학과의원.,서울 성동구 아차산로 41
성수의원.,서울 성동구 성수일로 39
김태화엔도내과의원.,서울 성동구 사근동길 6
백소아과,서울 노원구 동일로 1689
새하늘이비인후과소아과의원,서울 노원구 동일로 1548
세브란스가정의원(현 상계서울의원), 상계로 35길 2
송영훈소아청소년과의원,서울특별시 노원구 동일로227길 86
연세김앤이소아과,서울 노원구 노원로34길 112
연세예손의원, 상계로 3길 38-2
김경환이비인후과의원.,서울 성동구 행당로 84
단비소아청소년과의원.,서울 성동구 행당로 87
동심소아과의원(폐업),서울특별시 성동구 행당로 82
문영일이비인후과의원(폐업).,서울 성동구 행당로 108-1
박형근정형외과의원.,서울 성동구 왕십리로 311
삼성드림의원.,서울 성동구 고산자로 164
손내과의원.,서울 성동구 행당로 87
아이들소아청소년과의원,서울특별시 성동구 고산자로 234
연세내과의원.,서울 성동구 고산자로 234
연세프렌즈소아청소년과의원,서울 노원구 동일로 1392
오라클이비인후과의원, 상계로 5길 32
이형일소아과,서울 노원구 한글비석로 530
참사랑의원,서울 노원구 누원로 18
희락서울가정의학과의원,서울 노원구 수락산로 190
미래의원, 초안산로5길 12
세화소아청소년과의원,서울 노원구 화랑로 325
예원내과의원,서울 노원구 광운로 45
하늘별 소아청소년과의원,서울특별시 노원구 한글비석로 263
엘림소아청소년과의원,서울특별시 노원구 한글비석로 250
중계튼튼의원,서울 노원구 동일로207길 18
문미호소아과의원,서울특별시 노원구 섬밭로 229
고은소아과의원,서울특별시 노원구 공릉로59길 25
피터팬치과,서울 노원구 동일로 1018
꿈동산치과,서울특별시 노원구 노해로 452
마이키즈치과의원,서울특별시 노원구 동일로 1550
서울하이치과,서울 노원구 동일로 1689
연세주니어치과,서울 노원구 노해로 485
한국의학연구소,서울 종로구 창경궁로 236
미소로치과,서울 종로구 대학로 9
서울엘플러스치과,서울 종로구 대학로 9
의료법인열린의료재단동대문열린의원,종로 335 (창신1동 292 원풍빌딩 7층) 
예스항외과의원.,서울 성동구 고산자로 234
최대홍내과의원.,서울 성동구 마조로 25
최영인소아과의원.,서울 성동구 행당로 87
한솔내과의원.,서울 성동구 행당로 84
행당외과영상의학과의원.,서울 성동구 왕십리로 309
홍택원내과의원.,서울 성동구 고산자로6길 40
소명의원(폐업).,서울 성동구 고산자로 207
가톨릭정형외과의원(폐업).,서울 성동구 독서당로 335
권교선내과의원.,서울 성동구 장터길 34
금호정형외과의원.,서울 성동구 난계로 35
금호중앙의원.,서울 성동구 장터길 49-1
김동환이비인후과의원.,서울 성동구 행당로 1
미즈여성산부인과의원,서울 종로구 종로 335-1
강북서울외과의원,서울 종로구 지봉로 29
참좋은치과의원,서울 종로구 지봉로 37-1
독립문약손한의원,서울 종로구 통일로12길 6
서울신경정신과,서울 종로구 대학로11길 23
서울 의원,서울 종로구 통일로 226
가인치과 ,서울 종로구 종로 344
신도 의원 ,서울 종로구 종로62길 6
연수당 한의원,서울 종로구 종로 346
한피부과 의원 ,서울 종로구 종로 399
고운이치과,서울 종로구 지봉로 37-29
신중호 내과,서울 종로구 지봉로 37-29
한사랑안과의원,서울 종로구 지봉로 61-1
안박치과의원,서울 종로구 종로35길 9
연세미치과,서울 종로구 동망산길 7
연세해맑은치과의원,서울 종로구 대학로 13
이유동치과,서울 종로구 종로 232
한마음의원,서울 종로구 종로 230-1
종로구보건소,서울특별시 종로구 자하문로19길 36
종로구보건소 동부진료소,서울 종로구 지봉로5길 7-5
종로구정신건강증진센터,서울 종로구 성균관로 15-10
김재명내과의원.,서울 성동구 무수막길 95
명신가정의학과의원(폐원).,서울 성동구 금호로 100
미래연세내과의원.,서울 성동구 금호로 94
서울신경외과의원.,서울 성동구 독서당로 278
서울연합의원.(폐업),서울 성동구 난계로 36
아이그루소아청소년과의원(좂업).,서울특별시 성동구 금호로 94
안희정소아과의원.,서울특별시 성동구 독서당로 295-1
연세재활의학과의원.,서울 성동구 동호로 102
연합의원.,서울 성동구 독서당로 307-1
예원내과의원.,서울 성동구 동호로 100
유앤강마취통증의학과의원.,서울 성동구 독서당로 302
이영환이비인후과의원.,서울특별시 성동구 독서당로 285-1
이환구이비인후과의원.,서울 성동구 왕십리로 410
하나가정의원.,서울 성동구 고산자로 253
김차현내과의원.,서울 성동구 왕십리로 275
라렌의원.,서울 성동구 왕십리로 321
이영수마취통증의학과의원.,서울 성동구 왕십리로 339
행당외과영상의학과의원.,서울 성동구 왕십리로 309
한상일의원.,서울 성동구 고산자로6길 40
한승룡소아청소년과의원.,서울 성동구 행당로 1
서울가정의학과의원.,서울 성동구 독서당로 384
정소아청소년과의원.[폐업],서울특별시 성동구 독서당로 434
김양정형외과의원.,서울 성동구 독서당로 220
키즈니치과,서울 노원구 동일로 1419
을지병원,서울특별시 노원구 한글비석로 68
상계백병원,서울 노원구 동일로 1342
원자력병원,서울 노원구 노원로 75
공릉종합사회복지관 위기가정지원센터,서울 노원구 동일로 1127
장일성정형외과의원.,서울 성동구 장터길 19
정마취통증의학과의원.,서울 성동구 독서당로 309-1
조가정의학과의원.,서울 성동구 장터1길 2
여봉구정형외과의원.,서울 성동구 행당로17길 1-3
최준혁마취통증의학과의원.,서울 성동구 행당로 1
평화의원.,서울 성동구 독서당로 302
푸른이비인후과의원.,서울 성동구 독서당로 302
하나의원.,서울 성동구 독서당로 307-1
푸른소아청소년과의원,서울 노원구 공릉로34길 38
명이비인후과의원.,서울 성동구 용답중앙27길 11
영유아검진기관 - 도광찬소아청소년과의원,서울특별시 노원구 동일로 1401
연세가정의원.,서울 성동구 용답중앙13길 2
우리들의원,서울 성동구 용답중앙길 80-1
제이에스(JS)항외과의원.,서울 성동구 자동차시장1길 85
차내과의원.,서울 성동구 천호대로 308
최춘기이비인후과의원.,서울 성동구 천호대로 308
최흥렬피부과의원.,서울 성동구 천호대로 308
하나웰의원.,서울 성동구 천호대로 418
성동제일의원.,서울 성동구 광나루로 323
송정훼밀리의원->송정가정의원.,서울 성동구 광나루로11길 26-1
김태화엔도내과의원.,서울 성동구 사근동길 6
강소아과의원->강소아청소년과의원.,서울 성동구 마장로 291
연세새봄의원.,서울 성동구 마장로 291
우리가정의원.,서울 성동구 마조로 64
주외과의원->주외과산부인과.,서울 성동구 마장로 318
현대서울의원,서울 성동구 마장로 302
서울성모의원.,서울 중구 마장로9길 34
세명성모내과의원.,서울 성동구 마장로 187
삼성탑의원.,서울 성동구 고산자로 255
연세유앤외과의원.,서울 성동구 왕십리로 326
김요한소아과의원.,서울 성동구 용답중앙15길 12-1
구소아청소년과의원,서울 노원구 한글비석로 474
나온치과의원,서울 종로구 종로 256
강내과의원.,서울 성동구 용답중앙15길 2
이편한 치과의원,서울 종로구 종로 236-1
삼익 한의원,서울 종로구 종로 254-1
연세맑은 피부과의원 ,서울 종로구 종로 347
우주한의원,서울 종로구 종로 344
조은치과의원,서울 종로구 종로 344
두리원비뇨기과피부과 ,서울 종로구 대학로 1
삼성화인 통증의학과 의원,서울 종로구 대학로 13
신진한의원,서울 종로구 종로39길 14
한보한의원,서울 종로구 율곡로 290
성원신경정신과의원,서울 종로구 율곡로 286
미소엔치과,서울 종로구 사직로 119
제중안과,서울 종로구 자하문로2길 4
양인서치과,서울 종로구 사직로 105
다스름한의원,서울 종로구 사직로 107
KMI재단법인,서울 종로구 세종대로23길 3
성동보건소.,서울 성동구 마장로23길 10
성동보건소 금호분소.,서울 성동구 금호로 117
성동보건소 성수분소.,서울 성동구 서울숲길 54
한양대학교병원.,서울 성동구 왕십리로 222-1
서울마이크로병원->연세슬기병원.,서울 성동구 무학로2길 8
서울연세병원.,서울 성동구 왕십리로 296
서울중앙병원.,서울 성동구 금호산길 41
서울프라임병원.,서울 성동구 동일로 133
학교법인대진교육재단-제인병원.,서울 성동구 광나루로 243
예담치과 ,서울 종로구 종로 230-2
임지연소아청소년과의원,서울 노원구 공릉로32길 56
정소아청소년과의원,서울 노원구 화랑로51길 78
퀸스메디소아청소년과의원,서울 노원구 동일로 1055
연세다나이비인후과의원,서울 종로구 종로 19
삼성드림이비인후과의원,서울 종로구 종로 70
서울유니언이비인후과의원,서울 종로구 종로 137
마로니에이비인후과의원,서울 종로구 대학로 128
종로위브의원,서울 종로구 삼봉로 81
리벤스이비인후과의원 ,서울 종로구 삼봉로 81
연세하나마취통증의학과,서울 종로구 지봉로5길 5
연세소아청소년과의원,서울특별시 종로구 혜화로 4
혜화수치과의원,서울특별시 종로구 창경궁로 271-1
혜화 가정 의원,서울 종로구 성균관로 34
최치원치과의원,서울특별시 종로구 명륜길 2
신도영내과의원,서울 종로구 명륜길 22
동 성 한 의 원,서울 종로구 혜화로 14
해맑은한의원,서울 종로구 성균관로 13-1
김패밀리의원,서울특별시 종로구 성균관로 49-1
서울봄치과,서울 종로구 혜화로 13
이화 秀 여성의원,서울 종로구 명륜길 22
남정치과의원,서울 종로구 창경궁로 243
박재찬치과의원,서울특별시 종로구 성균관로 56
예다운치과의원,서울특별시 종로구 성균관로 12
서울s치과,서울 종로구 창경궁로 266
김성조치과의원,서울 종로구 대학로 149
강의내과의원,서울 종로구 창경궁로34길 18-5
경희부부한의원,서울 종로구 혜화로 4
혜화영상의학과,서울 종로구 창경궁로 233
다연한의원,서울 종로구 성균관로 64
곽내과의원,서울 종로구 자하문로 58
단아안 으뜸한의원(종로점),서울 종로구 지봉로 84
동일한의원,서울 종로구 보문로3길 2
하늘채한의원,서울 종로구 대학로 129
대학로서울정형외과,서울 종로구 창경궁로 264
아침한의원,서울 종로구 종로46길 22
김현치과의원,서울 종로구 종로39길 6
대학로 서울안과의원,서울 종로구 창경궁로 264
아침한의원,서울 종로구 종로46길 22
송치과 의원,서울 종로구 종로46길 22
대나무한의원,서울 종로구 북촌로 2
최안과의원,서울 종로구 율곡로 52
연세반디정신건강의학과의원,서울특별시 종로구 창경궁로 266
평창다인치과,서울 종로구 평창문화로 39
우정의원,서울 종로구 진흥로22길 3
로이병원,서울 종로구 평창문화로 75
박형기치과의원,서울 종로구 평창문화로 75
부암치과의원,서울 종로구 자하문로 301
옹상욱치과의원,서울 종로구 자하문로 266
신영세브란스의원,서울 종로구 평창11길 3
구기한의원,서울 종로구 진흥로 452
세검정한의원,서울 종로구 세검정로6길 8
부암한의원,서울 종로구 평창문화로 56
카라성형외과 ,서울 종로구 자하문로 271
양정원한의원,서울 종로구 대학로 146
서울대학교어린이병원,서울 종로구 대학로 101
이물비치과의원,서울특별시 종로구 동숭1길 12
바른이치과의원,서울 종로구 동숭1길 12
연우치과의원,서울 종로구 율곡로 241-2
김치과의원,서울 종로구 수표로 93-1
사무엘치과의원,서울 종로구 율곡로4길 66
정치과의원,서울 종로구 종로32길 2
홍병덕치과의원,서울 종로구 창경궁로 125
아주치과의원 ,서울 종로구 종로 199-2
성철제치과의원,서울 종로구 종로 144-1
웅플란트치과의원,서울 종로구 종로 135
인치과의원,서울 종로구 종로 188
장갑성애플치과의원,서울 종로구 돈화문로 24
쉬즈웰산부인과의원,서울 종로구 대학로12길 4
리즈산부인과의원,서울 종로구 종로 78
좋은느낌산부인과,서울 종로구 종로 19
본산부인과의원,서울 종로구 종로12길 21
S벨라의원,서울 종로구 종로 62
연세센스이비인후과의원 ,서울 종로구 종로 60-1
동부 Wee 센터,서울 중랑구 면목로23길 20
노원구보건소,서울특별시 노원구 노해로 437
월계헬스케어센터(보건지소),서울특별시 노원구 월계로 378
노원구어린이급식관리지원센터,서울특별시 노원구 화랑로 621
김은주소아청소년과의원,서울특별시 노원구 동일로 1101
박현숙소아과의원,서울 노원구 동일로 1024
연세키즈소아청소년과의원,서울 노원구 섬밭로 134
두리언어치료교육센터,서울 중랑구 공릉로2길 13
강북서울외과의원,서울 종로구 지봉로 29
하일렌발달심리센터 ,서울 중랑구 봉화산로 108-1
자광아동가정상담원,서울 중랑구 상봉로 7
웰빙 피부과,서울 종로구 종로 335-1
사과나무 치과의원,서울 종로구 지봉로 29
동대문 열린의원,서울 종로구 종로 335
키움 정형외과,서울 종로구 종로 335
로덴천일 치과,서울 종로구 종로 335
세란병원,서울 종로구 통일로 256
강북삼성병원,서울특별시 종로구 새문안로 29
서울적십자 병원,서울 종로구 새문안로 9
다움류기원한의원,서울 종로구 통일로 262
행촌의원,서울 종로구 통일로12길 2
이상연 신경정신과 ,서울 종로구 통일로 162
서울의원,통일로 226 (무악동 47-4)
원당한의원,서울 서대문구 독립문로8길 8
다미치과 ,서울 종로구 통일로 250
북촌 이해박는집,서울 종로구 북촌로 81
서울듀크의원,서울 종로구 율곡로 47
안국수치과의원,서울특별시 종로구 계동길 5
임계원정신건강의학과의원,서울 종로구 혜화로 8
소화연세소아청소년과의원,서울 종로구 지봉로8길 54
롯데웰치과의원,서울 종로구 종로 347
장경호가정의학과의원,서울 종로구 종로 407
향기나무한의원,서울 종로구 종로 225-1
선치과의원,서울 종로구 대학로 20
우창 한의원,서울 종로구 지봉로8길 3
다인치과 의원,서울 종로구 지봉로8길 54
세인치과의원,서울 종로구 종로39길 2
기분좋은치과의원,서울 종로구 대학로 19
대광 한의원,서울 종로구 숭인동길 24
우리의원 ,서울 종로구 창신길 47
박민규 이비인후과 ,서울 종로구 지봉로 77-3
권안과의원,서울 종로구 종로 335-1
한이비인후과의원,서울 종로구 지봉로 43
연세하나의원,지봉로5길 5 (창신동 237) 
해울한의원,서울 종로구 지봉로 51
오거리한의원,서울 종로구 지봉로 37-1
동진한의원 ,서울 종로구 지봉로 37-29
비앤비클리닉의원,서울 종로구 지봉로 43
소통한의원,서울 종로구 지봉로5길 5
정가정의원,서울 종로구 종로51나길 2
장수한의원,서울 종로구 지봉로 77-4
성모마음 상담치료센터,서울 중랑구 동일로 903
연세우리소아과의원,서울 종로구 자하문로7길 73
이성호가정의학과의원,서울 종로구 숭인동길 21
원이비인후과의원,서울 종로구 자하문로 63
김신규치과의원,서울 종로구 자하문로 63
이화미피부과의원,서울 종로구 자하문로2길 4
한빛내과의원,서울 종로구 사직로 107
금성한의원,서울 종로구 자하문로7길 63
정다운신경외과의원,서울 종로구 사직로 107
서울리더스치과의원,서울 종로구 자하문로2길 4
한빛산부인과의원,서울 종로구 자하문로2길 4
큰나무정형외과의원,서울 종로구 자하문로2길 4
참가정의학과의원,서울 종로구 종로 225-1
뉴수도정형외과의원,서울 종로구 지봉로 50
골드치과의원,서울 종로구 종로 233-1
미래의원,서울 종로구 종로41길 49
꽃길의원,서울 종로구 대학로 1
방익수 내과의원,서울 종로구 종로 344
서울새린치과의원,서울 종로구 종로 266
김내과의원,서울 용산구 백범로 281
김도현소아청소년과의원,서울 용산구 백범로 341
김형석소아과의원,서울 용산구 원효로 51
명소아과의원,서울 용산구 새창로14길 49
박소아과의원,서울 용산구 신흥로 93
서소아청소년과의원,서울 용산구 이촌로 200
신경란의원,서울 용산구 우사단로 2-1
연소아과의원,서울 용산구 장문로 94
우리소아청소년과의원,서울 용산구 새창로 70
이민재의원,서울 용산구 이촌로 248
용산구보건소,서울특별시 용산구 녹사평대로 150
혜광의원,서울 용산구 회나무로6길 5
연세휴치과,서울특별시 동대문구 천호대로 313
연세 바른이 교정치과,서울 동대문구 답십리로 287
중경당약국,서울 동대문구 장한로 58
조현약국,서울특별시 동대문구 장한로6길 10
새싹약국,서울 동대문구 이문로 136
이문우량아약국,서울특별시 동대문구 신이문로 27
코끼리약국,서울 동대문구 신이문로24길 4
올팜약국,서울 동대문구 이문로 120
이문태평양약국,서울특별시 동대문구 이문로 130
삼육서울병원 산후조리원,서울 동대문구 망우로 82
중량약국,서울 동대문구 망우로 131
강남성모안과의원,서울 동대문구 전농로 102
하늘병원,서울 동대문구 천호대로 327
윤성욱치과의원,서울 동대문구 한천로 55
서울미소치과,서울 종로구 종로 223-1
서울삼성신경외과의원,서울 종로구 종로 234-1
순흥한의원,서울 종로구 종로 249-1
연세김치과의원,서울 종로구 숭인동길 1
유선재치과의원,서울 종로구 동호로 408
유이비인후과 의원,서울 종로구 숭인동길 1
입안에행복치과의원,서울 종로구 종로41길 25
종로통증의학과의원,서울 종로구 종로 223
종로세브란스의원,서울 종로구 종로41길 4
문이비인후과 ,서울 종로구 종로 347
강남의원,서울 종로구 자하문로 58
방이비인후과,서울 동대문구 이문로 129
서울특별시 동부병원(동부시립병원),서울특별시 동대문구 무학로 124
이문연합의원,서울특별시 동대문구 휘경로3길 4
조광치과의원,서울 동대문구 휘경로 31
부부치과의원,서울 동대문구 이문로 187
라이프치과의원,서울 동대문구 이문로 126
강신구가정의학과의원,서울 동대문구 한천로58길 75-13
보인내과의원,서울 동대문구 이문로 119-1
유진여성의원,서울 동대문구 이문로 131
신재호내과의원,서울 동대문구 이문로 133-1
삼성서울가정의원,서울특별시 동대문구 이문로54길 46
참조은 내과,서울 동대문구 망우로 123
문창현 내과,서울 동대문구 망우로 77
우리들 위생약국,서울 동대문구 망우로 76
"장세영 소아과,내과의원",서울 동대문구 전농로 91
연세누리소아청소년과의원,서울특별시 동대문구 전농로10길 20
조근경이비인후과,서울특별시 동대문구 전농로 110
마리아병원(불임병원),서울 동대문구 천호대로 20
삼육서울병원,서울 동대문구 망우로 82
경희대 치과병원,경희대로 23 경희의료원
삼육치과병원,서울 동대문구 망우로 82
